network,station,latitude,longitude,start_year,end_year,smap_lat,smap_lon,chirps25_lat,chirps25_lon,chirps05_lat,chirps05_lon,MAP,location,MEAN_PET,AI,era5_lat,era5_lon,MAT,LAI_max,LAI_mean
AACES,Station26,-34.79623,147.14085,2010,2010,-34.64869,147.32365,-34.875,147.125,-34.775,147.125,499.0164489746094,"('AACES', 'Station26')",1299.31103515625,0.3840623495625123,-34.75,147.25,16.103577,3.456000028,0.9062388045517956
AACES,Station27,-35.171,147.105,2010,2010,-35.335194,146.95021,-35.125,147.125,-35.175,147.125,558.1931762695312,"('AACES', 'Station27')",1239.6776123046875,0.4502728537880046,-35.25,147.25,15.595245,4.72800004,1.0595573690643862
AACES,Station28,-35.185,147.119,2010,2010,-35.335194,146.95021,-35.125,147.125,-35.175,147.125,558.1931762695312,"('AACES', 'Station28')",1239.6776123046875,0.4502728537880046,-35.25,147.25,15.595245,4.89600006,1.116165352913253
AACES,Station29,-34.96287,147.85267,2010,2010,-34.991234,147.6971,-34.875,147.875,-34.975,147.875,618.2698974609375,"('AACES', 'Station29')",1118.0882568359375,0.5529705671094077,-34.75,147.75,15.319244,4.8280001,1.1261490820983446
AACES,Station30,-34.98263,147.85403,2010,2010,-34.991234,147.6971,-34.875,147.875,-34.975,147.875,618.2698974609375,"('AACES', 'Station30')",1118.0882568359375,0.5529705671094077,-34.75,147.75,15.319244,4.728000096,1.2390431375467685
AACES,Station31,-35.21873,148.06292,2010,2010,-35.335194,148.07054,-35.125,148.125,-35.225,148.07501,785.3168334960938,"('AACES', 'Station31')",1046.052734375,0.7507430626480874,-35.25,148.25,13.23996,4.944000084,1.5351277294719434
AACES,Station32,-35.24008,148.05672,2010,2010,-35.335194,148.07054,-35.125,148.125,-35.225,148.07501,785.3168334960938,"('AACES', 'Station32')",1046.052734375,0.7507430626480874,-35.25,148.25,13.23996,5.676000068,1.8367514587111686
AACES,Station34,-34.89562,148.37769,2010,2010,-34.991234,148.44398,-34.875,148.375,-34.875,148.375,700.0402221679688,"('AACES', 'Station34')",1065.54150390625,0.6569807178806624,-34.75,148.25,14.57901,5.272000096,1.5561742541148271
AACES,Station36,-35.17122,148.29327,2010,2010,-35.335194,148.44398,-35.125,148.375,-35.175,148.275,785.4747314453125,"('AACES', 'Station36')",1019.1549682617188,0.7707117719153411,-35.25,148.25,13.23996,5.66800012,1.7644468043211006
AACES,Station37,-35.06318,148.99915,2010,2010,-34.991234,148.81743,-35.125,148.875,-35.075,148.975,702.0174560546875,"('AACES', 'Station37')",977.1852416992188,0.7184077553545074,-35.25,148.75,11.591431,3.8320000640000003,1.2918203962032668
AACES,Station39,-35.04741,149.12515,2010,2010,-34.991234,149.19087,-35.125,149.125,-35.025,149.125,666.0083618164062,"('AACES', 'Station39')",1022.1770629882812,0.6515587034103129,-35.25,149.25,12.611328,2.108000032,0.909978992828972
AMMA-CATCH,Banizoumbou,13.5325,2.6604,2006,2018,13.538405,2.80083,13.625,2.625,13.524998,2.675003,468.84326171875,"('AMMA-CATCH', 'Banizoumbou')",2059.704833984375,0.22762643170177,13.75,2.75,29.210266,0.888,0.3659339346643694
AMMA-CATCH,Belefoungou-Mid,9.79506,1.70994,2006,2017,9.790613,1.6804979,9.875,1.625,9.774998,1.7249908,1245.2738037109375,"('AMMA-CATCH', 'Belefoungou-Mid')",1557.557373046875,0.7995042913089923,9.75,1.75,26.356506,3.2960000359999997,1.32875351276467
AMMA-CATCH,Belefoungou-Top,9.78986,1.70994,2006,2017,9.790613,1.6804979,9.875,1.625,9.774998,1.7249908,1245.2738037109375,"('AMMA-CATCH', 'Belefoungou-Top')",1557.557373046875,0.7995042913089923,9.75,1.75,26.356506,4.044000052,1.4373899974169657
AMMA-CATCH,Nalohou-Mid,9.7453,1.6053,2006,2017,9.790613,1.6804979,9.625,1.625,9.724998,1.625,1225.8585205078125,"('AMMA-CATCH', 'Nalohou-Mid')",1519.6253662109375,0.8066846920069459,9.75,1.75,26.356506,2.804000056,1.060675600725489
AMMA-CATCH,Nalohou-Top,9.74407,1.6058,2006,2017,9.790613,1.6804979,9.625,1.625,9.724998,1.625,1225.8585205078125,"('AMMA-CATCH', 'Nalohou-Top')",1519.6253662109375,0.8066846920069459,9.75,1.75,26.356506,2.804000056,1.060675600725489
AMMA-CATCH,Tondikiboro,13.548,2.6956,2006,2018,13.538405,2.80083,13.625,2.625,13.524998,2.675003,468.84326171875,"('AMMA-CATCH', 'Tondikiboro')",2059.704833984375,0.22762643170177,13.75,2.75,29.210266,0.74,0.283146319381102
AMMA-CATCH,Wankama,13.6456,2.632,2006,2018,13.538405,2.80083,13.625,2.625,13.624996,2.625,444.7874145507813,"('AMMA-CATCH', 'Wankama')",2073.861083984375,0.214473099469247,13.75,2.75,29.210266,0.764,0.2860279517583865
ARM,Anthony,37.2134,-98.0969,2011,2021,37.07728,-98.029045,37.125,-98.125,37.225,-98.075005,825.8815307617188,"('ARM', 'Anthony')",1279.9075927734375,0.6452665297282223,37.25,-98.25,14.231018,1.780000024,0.7020272853795952
ARM,Ashton,37.133,-97.266,1993,2023,37.07728,-97.28216,37.125,-97.375,37.125,-97.275,897.7216796875,"('ARM', 'Ashton')",1259.51025390625,0.7127545622620399,37.25,-97.25,14.456451,2.51200004,0.8567048575174115
ARM,Byron,36.881,-98.285,1995,2023,36.72578,-98.40249,36.875,-98.375,36.875,-98.275,812.5357055664062,"('ARM', 'Byron')",1309.644775390625,0.62042450047117,36.75,-98.25,15.126831,1.700000028,0.6976387746126853
ARM,Coldwater,37.333,-99.309,1996,2009,37.430386,-99.149376,37.375,-99.375,37.324997,-99.325005,653.8461303710938,"('ARM', 'Coldwater')",1337.9462890625,0.4886938554381314,37.25,-99.25,13.786835,1.5400000120000001,0.572939584702385
ARM,Cordell,35.354,-98.977,1996,2009,35.335194,-99.149376,35.375,-98.875,35.375,-98.975006,753.4078979492188,"('ARM', 'Cordell')",1425.3768310546875,0.5285675209072573,35.25,-98.75,15.854065,1.824000036,0.6819793413867842
ARM,Cyril,34.883,-98.205,1996,2009,34.991234,-98.029045,34.875,-98.125,34.875,-98.225006,866.4058227539062,"('ARM', 'Cyril')",1313.0526123046875,0.6598409040390081,34.75,-98.25,16.544495,2.2760000320000002,1.035056891532482
ARM,Earlsboro,35.269,-96.74,2003,2009,35.335194,-96.908714,35.375,-96.625,35.274994,-96.725006,1031.5311279296875,"('ARM', 'Earlsboro')",1209.67529296875,0.8527338980348468,35.25,-96.75,16.451385,2.232000032,0.9612553298169386
ARM,ElReno,35.557,-98.017,1997,2011,35.680595,-98.029045,35.625,-98.125,35.574997,-98.025,838.675048828125,"('ARM', 'ElReno')",1353.14892578125,0.619795081567914,35.75,-98.25,15.685974,2.304000052,0.7924419199022568
ARM,ElkFalls,37.383,-96.18,1995,2011,37.430386,-96.16183,37.375,-96.125,37.375,-96.175,999.597412109375,"('ARM', 'ElkFalls')",1146.065673828125,0.872199067589633,37.25,-96.25,14.2552185,3.824000064,1.224755427785541
ARM,Halstead,38.114,-97.513,1996,2009,38.14157,-97.6556,38.125,-97.625,38.125,-97.525,813.7952270507812,"('ARM', 'Halstead')",1192.58935546875,0.6823767320402732,38.25,-97.75,13.33786,2.996000044,0.8929663291067701
